author,title,school,year,pages,ee,publisher,booktitle,address,journal,volume,number,month,url,cdrom,editor,cite,note,crossref,isbn,series,chapter,publnr
Mirko Daniele Comparetti,High level control of robot behavior in neurosurgery.,"Polytechnic University of Milan, Italy",2014,,https://hdl.handle.net/10589/89514,,,,,,,,,,,,,,,,,
Caterina Senette,Technology-enhanced Programs for Children with Autism: implementing Applied Behavior Analysis Intervention on Mobile Devices.,"University of Pisa, Italy",2015,,https://etd.adm.unipi.it/theses/available/etd-04102015-144655/,,,,,,,,,,,,,,,,,
Paolo Coppola 0001,On the complexity of optimal reduction of functional programming languages.,"University of Udine, Italy",2002,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0002264,,,,,,,,,,,,,,,,,
Margherita Bassu,Advances in Electrochemical Micromachining of Silicon: Towards MEMS Fabrication.,"University of Pisa, Italy",2011,,"https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=CFI0803498, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20015798",,,,,,,,,,,,,,,,,
Daniele Buono,Optimizations and Cost Models for multi-core architectures: an approach based on parallel paradigms.,"University of Pisa, Italy",2014,,"https://etd.adm.unipi.it/theses/available/etd-05202014-105841/, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BVE0696791, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20016736",,,,,,,,,,,,,,,,,
Luca Bascetta,Virtual servoing of flexible manipulators.,"Polytechnic University of Milan, Italy",2004,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0007143,,,,,,,,,,,,,,,,,
Paula Trujillo,Development of novel methods of saturation transfer MRI for clinical application.,"Polytechnic University of Milan, Italy",2016,,https://hdl.handle.net/10589/122637,,,,,,,,,,,,,,,,,
Mauro Luigi Drago,Quality driven model transformations for feedback provisioning.,"Polytechnic University of Milan, Italy",2012,,https://hdl.handle.net/10589/56686,,,,,,,,,,,,,,,,,
Matteo Ceriotti 0001,Guaranteeing Communication Quality in Real World WSN Deployments.,"University of Trento, Italy",2011,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD12026228,,,,,,,,,,,,,,,,,
Letizia Milli,Understanding spreading and evolution in complex networks.,"University of Pisa, Italy",2018,,https://etd.adm.unipi.it/theses/available/etd-04032018-114157/,,,,,,,,,,,,,,,,,
Yongbiao Shi,Study on silicon carbide radiation detectors for laser-plasma radiation applications.,"Polytechnic University of Milan, Italy",2014,,https://hdl.handle.net/10589/98035,,,,,,,,,,,,,,,,,
Vanessa D'Amario,Machine Learning for Understanding Focal Epilepsy.,"University of Genoa, Italy",2020,,"https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20028845, https://hdl.handle.net/11567/1009692",,,,,,,,,,,,,,,,,
Piermarco Burrafato,Implementing cognitive semantics for the semantic web.,"University of Palermo, Italy",2005,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0014466,,,,,,,,,,,,,,,,,
Marco Rabozzi,CAOS: CAD as an Adaptive Open-platform Service for high performance reconfigurable systems.,"Polytechnic University of Milan, Italy",2019,,https://hdl.handle.net/10589/144275,,,,,,,,,,,,,,,,,
Hamid R. Barzegar,Wireless partial-duplex communications.,"Polytechnic University of Milan, Italy",2019,,https://hdl.handle.net/10589/144842,,,,,,,,,,,,,,,,,
Roberto Boselli,SEDimenTO (Semantic environment for distributed management of topic ontologies).,"University of Milan, Italy",2006,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0026548,,,,,,,,,,,,,,,,,
Davide Morelli,Unifying hardware and software benchmarking: a resource-agnostic model.,"University of Pisa, Italy",2015,,https://etd.adm.unipi.it/theses/available/etd-12032015-100938/,,,,,,,,,,,,,,,,,
Valerio Grossi,A New Framework for Data Streams Classification.,"University of Pisa, Italy",2009,,https://etd.adm.unipi.it/theses/available/etd-11242009-124601/,,,,,,,,,,,,,,,,,
Paolo Milazzo,QUALITATIVE AND QUANTITATIVE FORMAL MODELING OF BIOLOGICAL SYSTEMS.,"University of Pisa, Italy",2007,,https://etd.adm.unipi.it/theses/available/etd-07122007-092159/,,,,,,,,,,,,,,,,,
Martina Cheli,Modeling of graphene electron devices.,"University of Pisa, Italy",2011,,"https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BVE0590049, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20015910",,,,,,,,,,,,,,,,,
Ephrem Teshale Bekele,Innovative Electromagnetic Field Manipulating Devices Based on Transformation Electromagnetics.,"University of Trento, Italy",2015,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD16025371,,,,,,,,,,,,,,,,,
Vittorio Bilò,Pricing and equilibria in non-cooperative networks.,"University of L'Aquila, Italy",2005,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0014910,,,,,,,,,,,,,,,,,
Matteo Bollo,Architectures and Design Methodologies for Micro and Nanocomputing.,"Polytechnic University of Turin, Italy",2017,,"https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD18041320, https://hdl.handle.net/11583/2679368",,,,,,,,,,,,,,,,,
Giulio Ermanno Pibiri,Space and Time-Efficient Data Structures for Massive Datasets.,University of Pisa,2018,,"http://pages.di.unipi.it/pibiri/papers/phd_thesis.pdf, http://pages.di.unipi.it/pibiri/slides/final_PhD_presentation2.pdf, https://etd.adm.unipi.it/theses/available/etd-02262019-145646/",,,,,,,,,,,,,,,,,
Simone Mancon,Geometric parameters retrieval in SAR systems.,"Polytechnic University of Milan, Italy",2016,,https://hdl.handle.net/10589/122812,,,,,,,,,,,,,,,,,
Federico Borra,Space-Time Processing for Sound Field Reconstruction (SENSE).,"Polytechnic University of Milan, Italy",2020,,https://hdl.handle.net/10589/169287,,,,,,,,,,,,,,,,,
Vincenzo Sesta,Microelectronics for single-photon Time-of-Flight measurements.,"Polytechnic University of Milan, Italy",2020,,https://hdl.handle.net/10589/153913,,,,,,,,,,,,,,,,,
Arif Canakoglu,"Modular schema based data warehousing of evolving, redundant and incomplete data: application to biomolecular knowledge data integration and inference.","Polytechnic University of Milan, Italy",2016,,https://hdl.handle.net/10589/114643,,,,,,,,,,,,,,,,,
Diego Carrera,Learning and adaptation to detect changes and anomalies in high-dimensional data.,"Polytechnic University of Milan, Italy",2019,,https://hdl.handle.net/10589/144991,,,,,,,,,,,,,,,,,
Laura Pollacci,"Superdiversity: (Big) Data analytics at the crossroads of geography, language and emotions.","University of Pisa, Italy",2019,,https://etd.adm.unipi.it/theses/available/etd-10142019-100652/,,,,,,,,,,,,,,,,,
Gerardo Malavena,Flash memory technologies: evolution towards 3-D architectures and application to neuromorphic computing.,"Polytechnic University of Milan, Italy",2020,,https://hdl.handle.net/10589/177061,,,,,,,,,,,,,,,,,
Federico Reghenzani,Beyond the traditional analyses and resource management in real-time systems.,"Polytechnic University of Milan, Italy",2021,,https://hdl.handle.net/10589/169433,,,,,,,,,,,,,,,,,
Massimo Bartoletti,Language-based security.,"University of Pisa, Italy",2005,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0028704,,,,,,,,,,,,,,,,,
Claudio Belvedere,New functional and biomechanical assessments for the improvement of the surgical navigation systems for joint replacement in the human lower limb.,"University of Bologna, Italy",2009,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD15005131,,,,,,,,,,,,,,,,,
Simone Pecorino,Information rate of channels with memory by Bayesian tracking.,"Polytechnic University of Milan, Italy",2016,,https://hdl.handle.net/10589/115321,,,,,,,,,,,,,,,,,
Silvia Bordin,A framework for integrating user-centred Design and agile Development in small Companies.,"University of Trento, Italy",2017,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD18025888,,,,,,,,,,,,,,,,,
Fabio Veronese,"Collection, processing and analysis of environmental domotic sensors data for behavior drift detection.","Polytechnic University of Milan, Italy",2016,,https://hdl.handle.net/10589/116556,,,,,,,,,,,,,,,,,
Franco Maria Nardini,Query Log Mining to Enhance User Experience in Search Engines.,"University of Pisa, Italy",2011,,https://etd.adm.unipi.it/theses/available/etd-05022011-233235/,,,,,,,,,,,,,,,,,
Luigi Rucco,WSN power-performance optimization in multi-application scenarios.,"Polytechnic University of Milan, Italy",2014,,https://hdl.handle.net/10589/98552,,,,,,,,,,,,,,,,,
Alex Conconi,Margin-based on-line algorithms for text classification.,"University of Milan, Italy",2004,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0006790,,,,,,,,,,,,,,,,,
Giuseppe Sciortino,Multichannel CMOS integrated circuits for broadband spectroscopy applications.,"Polytechnic University of Milan, Italy",2021,,https://hdl.handle.net/10589/177122,,,,,,,,,,,,,,,,,
Federica Dentamaro,Progettazione e realizzazione di una banca-dati informatica per la catalogazione dei complessi architettonici e delle tecniche edilizie antiche.,"University of Bari, Italy",2006,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0022581,,,,,,,,,,,,,,,,,
Giulia Buizza,Multi-parametric imaging for particle therapy: integrating macro & microscale models.,"Polytechnic University of Milan, Italy",2020,,https://hdl.handle.net/10589/177639,,,,,,,,,,,,,,,,,
Pietro Landi,The emergence of diversity in the Adaptive Dynamics framework: Theory and applications.,"Polytechnic University of Milan, Italy",2014,,https://hdl.handle.net/10589/98030,,,,,,,,,,,,,,,,,
Michele Di Giorgio,High-resolution direct-written field-effect transistors for high frequency applications.,"Polytechnic University of Milan, Italy",2019,,https://hdl.handle.net/10589/148426,,,,,,,,,,,,,,,,,
Vincenzino Dattilo,"Progettazione, realizzazione e utilizzo di strumentazione a basso livello di rumore per applicazioni nel campo dei componenti elettronici.","University of Florence, Italy",2001,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0003449,,,,,,,,,,,,,,,,,
Iwona Bialynicka-Birula,Ranked Queries in Index Data Structures.,"University of Pisa, Italy",2008,,"https://etd.adm.unipi.it/theses/available/etd-10182008-074928/, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20014912",,,,,,,,,,,,,,,,,
Alberto Antonietti,Computational cerebellar models and their embodiment in behavioral loops to understand neural bases of motor learning.,"Polytechnic University of Milan, Italy",2018,,https://hdl.handle.net/10589/139681,,,,,,,,,,,,,,,,,
Paolo Buono,A framework for visual data analysis.,"University of Bari, Italy",2005,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0013670,,,,,,,,,,,,,,,,,
Arslan Arif,Performance Optimization of Memory Intensive Applications on FPGA Accelerator.,"Polytechnic University of Turin, Italy",2019,,"https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20027752, https://hdl.handle.net/11583/2727226",,,,,,,,,,,,,,,,,
Gabriele Scalia,"Machine learning-driven integration, knowledge extraction and uncertainty management for scientific data.","Polytechnic University of Milan, Italy",2021,,https://hdl.handle.net/10589/177059,,,,,,,,,,,,,,,,,
Fabio Panozzo,"Algorithms for the verification, computation and learning of equilibria in extensive-form games.","Polytechnic University of Milan, Italy",2014,,https://hdl.handle.net/10589/88662,,,,,,,,,,,,,,,,,
Alberto Vaccarella,Multimodal sensors management in Computer and Robot Assisted Surgery.,"Polytechnic University of Milan, Italy",2013,,https://hdl.handle.net/10589/80512,,,,,,,,,,,,,,,,,
Lucia Billeci,Novel methodologies and technologies for the multiscale and multimodal study of Autism Spectrum Disorders (ASDs).,"University of Pisa, Italy",2011,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20015840,,,,,,,,,,,,,,,,,
Stefano Cevasco,Telemedicina e tecnologie wireless di supporto all'emergenza sanitaria.,"University of Genoa, Italy",2006,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0023478,,,,,,,,,,,,,,,,,
Giuseppe Criscenti,Frontiers in biofabrication of ligament and bone-ligament interface scaffolds.,"University of Pisa, Italy",2015,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20016846,,,,,,,,,,,,,,,,,
Eric Umuhoza,Domain-specific modeling and code generation for cross-platform mobile and IoT-based applications.,"Polytechnic University of Milan, Italy",2017,,https://hdl.handle.net/10589/131915,,,,,,,,,,,,,,,,,
Gianluca Borgese,Design of embedded digital systems for data handling and elaboration in industrial and scientific applications.,"University of Pisa, Italy",2013,,"https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BVE0651554, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20016546",,,,,,,,,,,,,,,,,
Mirko Cesarini,Context aware programming.,"Polytechnic University of Milan, Italy",2005,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0018804,,,,,,,,,,,,,,,,,
Davide D'Amico,Advances in Kelvin probe technique.,"University of Rome Tor Vergata, Italy",2003,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0000799,,,,,,,,,,,,,,,,,
Luigi Cardamone,Evolutionary learning and search-based content generation in computer games.,"Polytechnic University of Milan, Italy",2012,,https://hdl.handle.net/10589/56704,,,,,,,,,,,,,,,,,
Mattia D'Emidio,Engineering shortest-path algorithms for dynamic networks.,"University of L'Aquila, Italy",2013,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BVE0659164,,,,,,,,,,,,,,,,,
Bajwa Roodra Pratap Singh,Angular Momentum Based Balancing Control and Shock-Proof Design of Legged Robots.,"University of Pisa, Italy",2021,,https://etd.adm.unipi.it/theses/available/etd-05302021-233152/,,,,,,,,,,,,,,,,,
Linda Martorini,A Scalable CAC Algorithm Providing StrictEnd-to-End Delay Guarantees in Networks with Aggregate Scheduling.,"University of Pisa, Italy",2007,,https://etd.adm.unipi.it/theses/available/etd-07162007-173149/,,,,,,,,,,,,,,,,,
Stefano Dalla Gasperina,Patient-cooperative mechatronic solutions for rehabilitative and assistive upper-limb exoskeletons.,"Polytechnic University of Milan, Italy",2021,,https://hdl.handle.net/10589/180212,,,,,,,,,,,,,,,,,
Danilo Caporale,Optimal/robust control for anti-slip/skid devices in railway applications.,"Polytechnic University of Milan, Italy",2015,,https://hdl.handle.net/10589/102813,,,,,,,,,,,,,,,,,
Fabio Della Rossa,Two-parameter bifurcations in smooth and piecewise-smooth dynamical systems : new theoretical results and applications.,"Polytechnic University of Milan, Italy",2012,,https://hdl.handle.net/10589/56695,,,,,,,,,,,,,,,,,
Giuseppe Bizzarri,Informatics education and teaching tools for secondary school learners.,"University of L'Aquila, Italy",2014,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BVE0659161,,,,,,,,,,,,,,,,,
Isidoro S. La Porta,A system to combat Botnet illegal activities.,"University of Pisa, Italy",2010,,https://etd.adm.unipi.it/theses/available/etd-02082010-153320/,,,,,,,,,,,,,,,,,
Giovanni Ciriello,Structural studies of the ribosome.,"University of Padua, Italy",2008,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=CFI0782410,,,,,,,,,,,,,,,,,
Simona Benvenuti,Modellistica matematica dei processi di formazione del mosaico retinico.,"University of Genoa, Italy",2004,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0008431,,,,,,,,,,,,,,,,,
Adnan Shahzada,A comprehensive framework for the development of dynamic smart spaces.,"Polytechnic University of Milan, Italy",2015,,https://hdl.handle.net/10589/114183,,,,,,,,,,,,,,,,,
Davide Mezza,2D X-ray imagine detectors for the X-ray free electron laser facilities.,"Polytechnic University of Milan, Italy",2013,,https://hdl.handle.net/10589/74541,,,,,,,,,,,,,,,,,
Elisabetta Peri,Evidence-based methodologies to assess the effectiveness of novel technologies for neurorehabilitation.,"Polytechnic University of Milan, Italy",2017,,https://hdl.handle.net/10589/136761,,,,,,,,,,,,,,,,,
Alessio Bacciardi,Polynomial factorization through structured matrix computation.,"University of Pisa, Italy",2003,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0028326,,,,,,,,,,,,,,,,,
Massimiliano Cattafi,Logic and constraint programming for computational sustainability.,"University of Ferrara, Italy",2012,,"https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20011252, https://hdl.handle.net/11392/2388775",,,,,,,,,,,,,,,,,
Silvia Boiardi,Radio planning and management of energy-efficient wireless access networks.,"Polytechnic University of Milan, Italy",2014,,https://hdl.handle.net/10589/99707,,,,,,,,,,,,,,,,,
Jinghua Gao,An Integrated Environment For Automated Benchmarking And Validation Of XML-Based Applications.,"University of Pisa, Italy",2009,,https://etd.adm.unipi.it/theses/available/etd-12022009-055611/,,,,,,,,,,,,,,,,,
Claudio Scordino,Dynamic Voltage Scaling for Energy- Constrained Real-Time Systems.,"University of Pisa, Italy",2010,,https://etd.adm.unipi.it/theses/available/etd-05122010-110559/,,,,,,,,,,,,,,,,,
Massimo Cafaro,The use of parallel and distributed compunting for on demand processing and post processing of remote sensing digital images.,"University of Salento, Italy",1995,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0022187,,,,,,,,,,,,,,,,,
Luigi Grimaldi,Frequency synthesizers based on digital PLLs for cellular radio applications.,"Polytechnic University of Milan, Italy",2019,,https://hdl.handle.net/10589/145197,,,,,,,,,,,,,,,,,
Andrea Pella,Technologies and methods for treatment geometry optimization in radiation therapy with accelerated particles.,"Polytechnic University of Milan, Italy",2012,,https://hdl.handle.net/10589/56737,,,,,,,,,,,,,,,,,
Massimo Torquati,Harnessing Parallelism in Multi/Many-Cores with Streams and Parallel Patterns.,"University of Pisa, Italy",2019,,https://etd.adm.unipi.it/theses/available/etd-02132019-111752/,,,,,,,,,,,,,,,,,
Matteo Albanese,Reduced-complexity decoding of error correcting codes for the gaussian channel.,"Polytechnic University of Milan, Italy",2005,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0018987,,,,,,,,,,,,,,,,,
Claudia Parera Sotolongo,Transfer learning for anticipating mobile network performance.,"Polytechnic University of Milan, Italy",2020,,https://hdl.handle.net/10589/169485,,,,,,,,,,,,,,,,,
Francesca Pennati,Image-based analysis of regional lung function.,"Polytechnic University of Milan, Italy",2014,,https://hdl.handle.net/10589/89782,,,,,,,,,,,,,,,,,
Alessandro Amodio,Automatic systems for unsafe lane change detection and avoidance.,"Polytechnic University of Milan, Italy",2019,,https://hdl.handle.net/10589/144833,,,,,,,,,,,,,,,,,
Lorenzo Colitti,Internet topology discovery using active probing.,"Roma Tre University, Italy",2006,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0023909,,,,,,,,,,,,,,,,,
Aleksandar Matic,"Sensing Social Interactions Using Non-Visual and Non-Auditory Mobile Sources, Maximizung Privacy and Minimizing Obtrusiveness.","University of Trento, Italy",2012,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD13026420,,,,,,,,,,,,,,,,,
Michele Bava,Innovative ICT solutions in telemedicine to support clinical practice and research in hospitals.,"University of Trieste, Italy",2012,,"https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD13090146, https://hdl.handle.net/10077/7437",,,,,,,,,,,,,,,,,
Lorenzo Ceragioli,Access Control Policies Across Abstraction Layers.,"University of Pisa, Italy",2022,,https://etd.adm.unipi.it/theses/available/etd-05172022-152841/,,,,,,,,,,,,,,,,,
Basak Sakcak,Optimal kinodynamic planning for autonomous vehicles.,"Polytechnic University of Milan, Italy",2018,,https://hdl.handle.net/10589/137763,,,,,,,,,,,,,,,,,
Antonio Arreghini,Characterization and modeling of Non volatile memory cells based on localized trapping materials.,"University of Udine, Italy",2008,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=CFI0792370,,,,,,,,,,,,,,,,,
Vito Giovanni Castellana,C-based high level synthesis of parallel applications targeting adaptive hardware components.,"Polytechnic University of Milan, Italy",2014,,https://hdl.handle.net/10589/89505,,,,,,,,,,,,,,,,,
Andrea Baldacci,Novel Methods and Algorithms for Presenting 3D Scenes.,"University of Pisa, Italy",2017,,"https://etd.adm.unipi.it/theses/available/etd-01102017-094240/, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20017368",,,,,,,,,,,,,,,,,
Ottavia Dipasquale,"Data de-noising, brain parcellation and network analysis methods for resting state functional MRI: comparison of novel and existing approaches in clinical datasets.","Polytechnic University of Milan, Italy",2016,,https://hdl.handle.net/10589/126622,,,,,,,,,,,,,,,,,
Abdulrahman Kaitoua,Scalable data management and processing for genomic computing.,"Polytechnic University of Milan, Italy",2017,,https://hdl.handle.net/10589/132065,,,,,,,,,,,,,,,,,
Anna Buttaboni,Strategies for the efficient management of the capacity in fixed-mobile converged networks.,"Polytechnic University of Milan, Italy",2015,,https://hdl.handle.net/10589/116164,,,,,,,,,,,,,,,,,
Lorenzo De Mattei,Data and Models for Understanding andGenerating Stylistic Variation in Language.,"University of Pisa, Italy",2021,,https://etd.adm.unipi.it/theses/available/etd-06302021-202747/,,,,,,,,,,,,,,,,,
Sefano Baraldi,Interazione naturale e tavoli interattivi per la gestione di strutture cognitive visuali.,"University of Florence, Italy",2008,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=CFI0772988,,,,,,,,,,,,,,,,,
Ewerton Lopes Silva de Oliveira,LEARNING MODELS TO OPTIMIZE THE PLAYER EXPERIENCE IN ROBOGAMES.,"Polytechnic University of Milan, Italy",2019,,https://hdl.handle.net/10589/146139,,,,,,,,,,,,,,,,,
Andrea Bracciali,Behavioural patterns and software composition.,"University of Pisa, Italy",2003,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0028427,,,,,,,,,,,,,,,,,
Giuseppe Luca Ciavarro,Functional evaluation of the spine.,"Polytechnic University of Milan, Italy",2005,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0018924,,,,,,,,,,,,,,,,,
Giulia Costantini,Lexical and numerical domains for abstract interpretation.,"Ca' Foscari University of Venice, Italy",2014,,"https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD15022421, https://hdl.handle.net/10579/4636",,,,,,,,,,,,,,,,,
Michele Chinosi,Representing business processes: conceptual model and design methodology.,"University of Insubria, Italy",2009,,"https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20013596, https://hdl.handle.net/11383/2090867",,,,,,,,,,,,,,,,,
Elena De Momi,Computer aided surgery.,"Polytechnic University of Milan, Italy",2006,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0025943,,,,,,,,,,,,,,,,,
Flavio Di Martino,m-Health Solutions and Data Analysis to Detect and Predict Risky and Adverse Health Conditions in Older Adults.,"University of Pisa, Italy",2021,,https://etd.adm.unipi.it/theses/available/etd-08232021-133901/,,,,,,,,,,,,,,,,,
Gianluca Nicosia,Performance and reliability issues of NAND Flash cells at the transition from planar to 3-D array architectures.,"Polytechnic University of Milan, Italy",2019,,https://hdl.handle.net/10589/144279,,,,,,,,,,,,,,,,,
Emilio Ancillotti,MANETs: Internet Connectivity and Transport Protocols.,"University of Pisa, Italy",2007,,"https://etd.adm.unipi.it/theses/available/etd-07192007-221523/, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20014567",,,,,,,,,,,,,,,,,
Luca Ardito,Energy-aware software.,"Polytechnic University of Turin, Italy",2013,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BVE0655731,,,,,,,,,,,,,,,,,
Gianni Bagni,Reduced model identification for chaotic signals.,"University of Florence, Italy",2004,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0010045,,,,,,,,,,,,,,,,,
Maddalena Bonanno,Ri-regolamentazione del mercato elettrico in Italia.,"University of Catania, Italy",2006,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0024740,,,,,,,,,,,,,,,,,
Giorgio Ferrari,Analizzatore di spettro a correlazione per l'indagine di dispositivi elettronici tramite misure di rumore ad elevatisima sensibilitaÌ€.,"Polytechnic University of Milan, Italy",2003,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0000381,,,,,,,,,,,,,,,,,
Alessandra Pascale,Traffic monitoring in ITS: wireless architectures and algoriyhms for traffic state estimation.,"Polytechnic University of Milan, Italy",2013,,https://hdl.handle.net/10589/80508,,,,,,,,,,,,,,,,,
Maurizio Tesconi,Sharing Semantic Resources.,"University of Pisa, Italy",2007,,https://etd.adm.unipi.it/theses/available/etd-07112007-092645/,,,,,,,,,,,,,,,,,
Davide Cangelosi,On Improving Stochastic Simulation for Systems Biology.,"University of Pisa, Italy",2010,,"https://etd.adm.unipi.it/theses/available/etd-11222010-110708/, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD20015714",,,,,,,,,,,,,,,,,
Mauro Bello,Business intelligence nel marketing bancario.,"University of Bari, Italy",2003,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BNI0001331,,,,,,,,,,,,,,,,,
Alessandro Margara,Combining expressiveness and efficiency in a complex event processing middleware.,"Polytechnic University of Milan, Italy",2012,,https://hdl.handle.net/10589/56684,,,,,,,,,,,,,,,,,
Ata Baniahmad,Development & characterization of silicon drift detector arrays & integrated readout electronics for x-ray detection applications.,"Polytechnic University of Milan, Italy",2021,,https://hdl.handle.net/10589/175371,,,,,,,,,,,,,,,,,
Aleandro Antidormi,Modelling and Simulation of Silicon Nanowire-Based Electron Devices for Computation and Sensing.,"Polytechnic University of Turin, Italy",2016,,"https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=BVE0720269, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD17056600, https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=TD18041049, https://hdl.handle.net/11583/2643159",,,,,,,,,,,,,,,,,
Sofia Ceppi,Incentive compatible revenue sharing mechanisms for the federation of services.,"Polytechnic University of Milan, Italy",2013,,https://hdl.handle.net/10589/74242,,,,,,,,,,,,,,,,,
Andrea Maria Zanchettin,Human-centric behaviour of redundant manipulators under kinematic control.,"Polytechnic University of Milan, Italy",2012,,https://hdl.handle.net/10589/56687,,,,,,,,,,,,,,,,,
Naveed Anwar Bhatti,System support for transiently-powered embedded sensing systems.,"Polytechnic University of Milan, Italy",2018,,https://hdl.handle.net/10589/137902,,,,,,,,,,,,,,,,,
Riccardo Guidotti,Personal Data Analytics: Capturing Human Behavior to Improve Self-Awareness and Personal Services through Individual and Collective Knowledge.,"University of Pisa, Italy",2017,,https://etd.adm.unipi.it/theses/available/etd-03272017-091930/,,,,,,,,,,,,,,,,,
Antonio Leanza,"Decorrelation phenomena in a Geosynchronous Synthetic Aperture Radar: theory, techniques and performance.","Polytechnic University of Milan, Italy",2018,,https://hdl.handle.net/10589/137925,,,,,,,,,,,,,,,,,
Alessandro Di Federico,Compiler techniques for binary analysis and hardening.,"Polytechnic University of Milan, Italy",2018,,https://hdl.handle.net/10589/139255,,,,,,,,,,,,,,,,,
Marta Valenti,Statistical shape models based 2D/3D registration methods for knee orthopaedic surgery.,"Polytechnic University of Milan, Italy",2016,,https://hdl.handle.net/10589/114515,,,,,,,,,,,,,,,,,
Nadia Giovanna Boetti,Nd,"Polytechnic University of Turin, Italy",2014,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=CFI0900009,,,,,,,,,,,,,,,,,
Lorenzo Di Tucci,Hugenomic: exploiting FPGAs as hardware accelerators in the genomic domain.,"Polytechnic University of Milan, Italy",2020,,https://hdl.handle.net/10589/169429,,,,,,,,,,,,,,,,,
Davide Chini,InterDataNet.,"University of Florence, Italy",2009,,https://opac.bncf.firenze.sbn.it/bncf-prod/resource?uri=CFI0775772,,,,,,,,,,,,,,,,,
Pierpaolo De Filippi,Stability control systems for tilting vehicles.,"Polytechnic University of Milan, Italy",2012,,https://hdl.handle.net/10589/56699,,,,,,,,,,,,,,,,,
