author,title,school,year,pages,ee,publisher,booktitle,address,journal,volume,number,month,url,cdrom,editor,cite,note,crossref,isbn,series,chapter,publnr
Lutz Winkler,"ISDN-Kommunikationssysteme: ein Beitrag zu ausgewählten Prinzipien, Verfahren, Geräte- und Programmtechniken.","Ingenieurhochschule Mittweida, Germany",1989,,https://d-nb.info/900860855,,,,,,,,,,,,,,,,,
Jochen Reutelshöfer,A meta-engineering approach for document-centered knowledge acquisition.,"Julius Maximilians University Würzburg, Germany",2014,1-247,"https://opus.bibliothek.uni-wuerzburg.de/frontdoor/index/index/docId/10752, https://nbn-resolving.org/urn:nbn:de:bvb:20-opus-107523, https://d-nb.info/1066682925, https://d-nb.info/1108781098",,,,,,,,,,,,,,,,,
Jonas Maaskola,Discriminative Learning for Probabilistic Sequence Analysis.,Free University of Berlin,2015,,"http://www.diss.fu-berlin.de/diss/receive/FUDISS_thesis_000000099752, https://nbn-resolving.org/urn:nbn:de:kobv:188-fudissthesis000000099752-7, https://d-nb.info/1074139488",,,,,,,,,,,,,,,,,
Elisabeth Wette,Sequentielle Darstellungen primitiv rekursiver Funktionen und Komplexitätsklassen.,"University of Duisburg-Essen, Germany",1989,1-206,https://d-nb.info/900716304,,,,,,,,,,,,,,,,,
Markus Cordes,Gestaltung interaktiver multimedialer Lernanwendungen im Qualitätsmanagement.,University of Hanover,1997,1-145,https://d-nb.info/950666548,VDI-Verlag,,,,,,,,,,,,,3-18-324320-2,,,
Sabrina Braukmeier,Codeswitching in deutsch-italienischen Weblogs: eine korpusbasierte Untersuchung.,University of Leipzig,2014,,https://d-nb.info/1071627260,,,,,,,,,,,,,,,,,
Christoph Walther,A many-sorted calculus based on resolution and paramodulation.,"Karlsruhe Institute of Technology, Germany",1982,,https://d-nb.info/850138256,,,,,,,,,,,,,,,,,
Andreas Hanselowski,A Machine-Learning-Based Pipeline Approach to Automated Fact-Checking.,"Technical University of Darmstadt, Germany",2020,,"http://tuprints.ulb.tu-darmstadt.de/14136/, https://nbn-resolving.org/urn:nbn:de:tuda-tuprints-141365, https://d-nb.info/1224048164",,,,,,,,,,,,,,,,,
Frank Helten,Technik und Konstruktionshandeln: eine sozialwissenschaftliche Studie zum sozialen Prozess der Technik.,"Technical University of Berlin, Germany",1993,1-373,https://d-nb.info/930579801,Lang,,,,,,,,,,,,,978-3-631-45743-6,,,
Bara' Al-Mistarehi,An approach for automated detection and classification of pavement cracks.,"University of Stuttgart, Germany",2017,,"https://nbn-resolving.org/urn:nbn:de:bsz:93-opus-ds-91787, https://d-nb.info/1135957282",,,,,,,,,,,,,,,,,
Peter Langendörfer,Gestaltung konfigurierbarer Codegeneratoren für die automatische Erzeugung effizienter Protokollimplementierungen.,"Brandenburg University of Technology, Cottbus - Senftenberg, Germany",2001,1-162,https://d-nb.info/960956190,Shaker,,,,,,,,,,,,,978-3-8265-8539-5,,,
Florian Merz 0001,Theory and Implementation of Software Bounded Model Checking.,"Karlsruhe Institute of Technology, Germany",2016,,"http://digbib.ubka.uni-karlsruhe.de/volltexte/1000063835, https://nbn-resolving.org/urn:nbn:de:swb:90-638350, https://d-nb.info/1122461615",,,,,,,,,,,,,,,,,
Mohieddine Jelali,Über die nichtlineare Approximation und Zustandsschätzung zeitkontinuierlicher dynamischer Prozesse.,University of Duisburg-Essen,1997,1-127,https://d-nb.info/95132408X,VDI-Verlag,,,,,,,,,,,,,3-18-363608-5,,,
Irene Pollach,Communicating corporate ethics on the world wide web: a discourse analysis of selected company web sites.,"Vienna University of Economics and Business, Austria",2003,1-235,https://d-nb.info/965931323,Lang,,,,,,,,,,,,,978-3-631-50695-0,,,
Florian Sagstetter,Schedule Synthesis for Time-Triggered Automotive Architectures.,"Technical University Munich, Germany",2016,,"https://nbn-resolving.org/urn:nbn:de:bvb:91-diss-20160628-1273913-1-4, https://d-nb.info/1115856324",,,,,,,,,,,,,,,,,
Manuel Huber 0001,System Architectures for Data Confidentiality and Frameworks for Main Memory Extraction.,"Technical University of Munich, Germany",2019,,"https://nbn-resolving.org/urn:nbn:de:bvb:91-diss-20191216-1518642-1-5, https://d-nb.info/1203299966",,,,,,,,,,,,,,,,,
Julian Valentin,B-splines for sparse grids: algorithms and application to higher-dimensional optimization.,"University of Stuttgart, Germany",2019,,"https://nbn-resolving.org/urn:nbn:de:bsz:93-opus-ds-105215, https://d-nb.info/1193086469",,,,,,,,,,,,,,,,,
Jean-Yves Lalande,Verbstellung im Deutschen und Französischen: unter Anwendung eines CAD-basierten Expertensystems.,University of Cologne,1997,1-166,https://d-nb.info/949846104,Niemeyer,,,,,,,,,,,,,3-484-30365-4,,,
Jürgen Lange,Ein Beitrag zur Anwendung von Prädikat/Transitions-Netzen zur Modellierung und Simulation von Fertigungsprozessen.,"Technische Hochschule Karl-Marx-Stadt, Germany",1988,,https://d-nb.info/900887990,,,,,,,,,,,,,,,,,
Mark Kiermayer,Machine and deep learning in present actuarial challenges.,"University of Ulm, Germany",2022,,"https://nbn-resolving.org/urn:nbn:de:bsz:289-oparu-44402-5, https://d-nb.info/1267475021",,,,,,,,,,,,,,,,,
Patrice Le Vaillant de Folleville,"Nicht-sequentielle Suche, Preiswerbung und Marktgleichgewicht.","University of Duisburg-Essen, Germany",1986,1-198,https://d-nb.info/850888336,Lang,,,,,,,,,,,,,978-3-8204-9058-9,,,
Hugo Gascón Polanco,Defending Against Targeted Attacks with Pattern Recognition.,"Braunschweig University of Technology, Germany",2020,,"https://publikationsserver.tu-braunschweig.de/receive/dbbs_mods_00068228, https://nbn-resolving.org/urn:nbn:de:gbv:084-2020020608188, https://d-nb.info/1204561478",,,,,,,,,,,,,,,,,
Nina Raith,Das vernetzte Automobil: im Konflikt zwischen Datenschutz und Beweisführung.,"University of Kassel, Germany",2019,1-413,https://d-nb.info/1180647971,Springer Vieweg,,,,,,,,,,,,,978-3-658-26012-5,,,
Susanne Willenbacher,Untersuchungen zu räumlichen Benutzerschnittstellen am Beispiel der Präsentation von Stadtinformationen.,"Bauhaus University, Weimar, Germany",2000,,"ftp://ftp.uni-weimar.de/pub/publications/diss/Willenbacher/Gesamt.pdf, https://nbn-resolving.org/urn:nbn:de:gbv:wim2-20040218-363, https://d-nb.info/959837329, https://d-nb.info/961442611",,,,,,,,,,,,,,,,,
Walter J. Spanuth,Abbildung des hierarchischen Strukturcodes HSC und seiner Verknüpfungsmechanismen auf eine Baumstruktur mit effizienten Zugriffsmöglichkeiten.,"University of Paderborn, Germany",1987,1-144,https://d-nb.info/880821701,VDI-Verlag,,,,,,,,,,,,,978-3-18-147810-3,,,
Franka Grünewald,Uniting the social web and topic maps with tele-teaching to provide user-friendly interaction possibilities with e-lectures.,University of Potsdam,2015,1-192,https://d-nb.info/1071727370,Logos-Verlag,,,,,,,,,,,,,978-3-8325-3792-0,,,
Reiner S. Thomä,Zur Theorie und Technik der Signal- und Systemanalyse mittels diskreter Fourier-Transformation.,"Technische Universität Ilmenau, Germany",1989,1-186,https://d-nb.info/900511044,,,,,,,,,,,,,,,,,
Xing Li 0003,Applications of doubly quasi-periodic boundary value problems in elasticity theory.,"Free University of Berlin, Dahlem, Germany",1999,1-100,https://d-nb.info/95805536X,,,,,,,,,,,,,,,,,
Andreas Krause 0008,Sprecherunabhängige Worterkennung auf der Basis von Ganzwort-Merkmalen.,"University of Göttingen, Germany",1983,1-59,https://d-nb.info/831133481,,,,,,,,,,,,,,,,,
Bin Nguyen,Simultane Ermittlung des effektiven Diffusionskoeffizienten und der effektiven Reaktionsgeschwindigkeitskonstanten in porösen Katalysatoren aus dynamischen Untersuchungen.,"Technische Hochschule Magdeburg, Germany",1983,,https://d-nb.info/840100965,,,,,,,,,,,,,,,,,
Felix J. Metzger,Produktdaten-Design und Daten-Integration durch Zusammenfügen autonomer Schema-Module.,ETH Zurich,1997,,https://d-nb.info/954141911,,,,,,,,,,,,,,,,,
Yinlong Liu,Globally Optimal Solutions for Unit-Norm Constrained Computer Vision Problems.,"Technical University of Munich, Germany",2022,,"https://nbn-resolving.org/urn:nbn:de:bvb:91-diss-20220726-1639379-1-3, https://d-nb.info/1266297596",,,,,,,,,,,,,,,,,
Wenxue Gao,Active buffer development in CBM experiment.,Heidelberg University,2012,1-170,https://d-nb.info/1022730444,,,,,,,,,,,,,,,,,
Rolf Bendl,"Methoden zur computerunterstützten Entwicklung, Evaluation und Anwendung komplexer Bestrahlungstechniken in der dreidimensionalen Strahlentherapieplanung.","University of Heidelberg, Germany",1993,,https://d-nb.info/941647269,,,,,,,,,,,,,,,,,
Manfred Bachmann,Integriertes Planungsmodell: beispielhaft dargestellt für ein Unternehmen der kunststoffverarbeitenden Industrie.,"Technical University of Dortmund, Germany",1982,1-116,https://d-nb.info/830848169,,,,,,,,,,,,,,,,,
Bernd Loscher,Entwicklung und Implementierung von Kommunikationsprotokollen in elementaren verteilten Datenbasisverwaltungssystemen am Beispiel DDS.,"University of Rostock, Germany",1989,,https://d-nb.info/931384885,,,,,,,,,,,,,,,,,
Ilka Habenicht,Parallelisierbare Terminierungsverfahren als Baustein für ein Multiagentensystem.,FernUniversität in Hagen,2010,,"http://deposit.fernuni-hagen.de/2742/, https://nbn-resolving.org/urn:nbn:de:hbz:708-27429, https://d-nb.info/1006402373",,,,,,,,,,,,,,,,,
Bodo Sartorius,Exportmarketing für neuartige Gebrauchsgüter auf verbundenen Märkten: eine computergestützte Simulationsanalyse.,"University of Passau, Germany",1983,1-277,"https://d-nb.info/840486359, https://d-nb.info/942019814",,,,,,,,,,,,,,,,,
Jeremy Debattista,Scalable Quality Assessment of Linked Data.,"University of Bonn, Germany",2017,,"http://hss.ulb.uni-bonn.de/2017/4720/4720.htm, https://nbn-resolving.org/urn:nbn:de:hbz:5n-47205, https://d-nb.info/1135663440",,,,,,,,,,,,,,,,,
Dennis Luxen,Building Blocks for Mapping Services.,Karlsruhe Institute of Technology,2013,,"http://digbib.ubka.uni-karlsruhe.de/volltexte/1000035705, https://nbn-resolving.org/urn:nbn:de:swb:90-357059, https://d-nb.info/1037154347",,,,,,,,,,,,,,,,,
Reinhard Hopsch,Zur Modellierung und Lösung von Problemen der optimalen Steuerung in der Kontinuumsmechanik.,"Freiberg University of Mining and Technology, Saxony, Germany",1982,,https://d-nb.info/830714723,,,,,,,,,,,,,,,,,
Jelena Prsa,Concepts for X-ray Based 3D Replication in Rapid Prototyping Environment.,"Technical University Munich, Germany",2018,,"https://nbn-resolving.org/urn:nbn:de:bvb:91-diss-20180613-1375860-1-6, https://d-nb.info/1162275006",,,,,,,,,,,,,,,,,
